Abstand,Zeit,Datum,Lange,Breite,Geschwindigkeit Fahrrad, Geschwindigkeit KFZ, Lange KFZ,checksumme
194.583,50528,240820,48.6564,9.05949,12.6509,812.33,29.9099,10437000000
228.659,50549,240820,48.6565,9.05895,5.38188,945.103,27.2143,12269100000
148.773,50625,240820,48.6558,9.05546,30.4337,641.847,10.1982,7991490000
111.49,52447,240820,48.6516,8.97217,35.3841,398.776,8.95351,6146720000
217.744,52944,240820,48.6585,8.95002,33.4969,528.069,5.18238,12090300000
208.8,143411,240820,48.6582,8.9485,30.2856,888.391,11.8419,31398700000
180.131,143517,240820,48.6614,8.9538,25.7593,257.685,7.33829,27125300000
182.541,145211,240820,48.6834,9.03344,15.7678,580.059,20.3123,28072800000
224.801,145327,240820,48.6844,9.03687,10.6137,760.234,41.9172,34613400000
227.382,145327,240820,48.6844,9.03687,10.6137,220.537,7.05312,35010900000
137.55,150705,240820,48.7161,9.08683,17.9606,131.018,2.61335,22098600000
181.836,151350,240820,48.7011,9.11692,28.2354,3948.23,54.2445,29426600000
140.636,151416,240820,48.6987,9.11779,36.0212,613.993,13.5519,22770300000
179.508,160750,240820,48.693,9.13261,24.6481,281.08,8.32887,30902200000
165.742,160827,240820,48.6933,9.13542,5.49856,348.438,5.04823,28554900000
236.835,53118,250820,48.671,8.96961,21.4053,508.066,3.0939,13775100000
186.475,53359,250820,48.6636,8.95646,23.6055,2165.11,9.51545,10877600000
213.979,53452,250820,48.6612,8.95347,2.75761,178.166,7.78888,12498900000
157.421,53647,250820,48.6556,8.94506,29.7985,353.275,6.63695,9219040000
136.529,145639,250820,48.6554,8.96767,26.6075,587.699,18.6731,21760800000
179.256,150202,250820,48.6469,8.99515,21.1349,768.444,11.0618,29551100000
163.04,150404,250820,48.6464,9.00211,18.7069,688.754,11.4723,26934700000
142.704,151713,250820,48.6615,9.06845,33.1802,619.649,22.7572,23962900000
167.248,152514,250820,48.6611,9.11591,12.1657,250.029,2.27411,28380200000
198.799,152810,250820,48.6644,9.1238,30.1356,303.69,5.97331,33831000000
133.956,152932,250820,48.6697,9.12686,33.1432,197.092,6.37384,22824500000
220.194,153002,250820,48.6725,9.12634,38.2158,763.617,19.8989,37535800000
195.706,153343,250820,48.6859,9.12942,22.0961,424.242,7.30067,33456100000
195.423,153429,250820,48.688,9.12989,15.3437,818.474,12.6273,33429700000
180.992,153429,250820,48.688,9.12989,15.3437,387.256,18.8172,30961200000
166.415,153521,250820,48.6906,9.13044,18.5403,711.728,15.1093,28487800000
151.72,153642,250820,48.6935,9.13397,15.6808,211.926,7.29979,26004300000
122.574,153655,250820,48.6935,9.13487,16.516,403.712,14.9925,21012700000
182.278,153742,250820,48.6936,9.13821,22.5887,482.514,22.3001,31276900000
161.438,154025,250820,48.6903,9.15125,27.215,547.883,2.583,27789500000
230.05,154206,250820,48.6872,9.16056,24.7852,970.221,4.04396,39684700000
220.927,154253,250820,48.6849,9.16182,16.7698,320.773,12.8192,38125900000
225.914,82758,160820,48.7505,9.1711,51.2519,979.691,34.5399,13442900000
228.329,83737,160820,48.7656,9.17053,26.6038,182.998,6.41154,13750800000
213.019,90942,160820,48.7828,9.17376,17.9587,311.101,5.31159,13942400000
163.441,91451,160820,48.7825,9.16683,4.46885,144.181,7.74593,10749200000
105.671,92731,160820,48.7738,9.17017,0.0444477,145.452,12.819,7048320000
163.037,93147,160820,48.7721,9.15967,7.9617,345.233,34.9014,10910500000
109.033,94335,160820,48.7781,9.17522,7.32462,122.526,4.59456,7403060000
133.295,94620,160820,48.7819,9.1792,7.41351,81.7635,12.2743,9082400000
230.228,94723,160820,48.7809,9.17779,11.0842,200.826,6.95225,15701500000
120.655,95231,160820,48.7746,9.18032,3.13357,252.731,8.20697,8273990000
170.893,95545,160820,48.7712,9.17362,10.3193,703.365,18.9031,11748300000
122.315,95548,160820,48.7713,9.17343,8.43396,407.11,9.6788,8408870000
147.818,95607,160820,48.771,9.17289,8.20246,211.606,4.86659,10167800000
170.734,100107,160820,48.7635,9.1633,7.33943,131.334,11.6547,12282100000
174.457,101251,160820,48.7734,9.17475,5.85414,711.026,24.6466,12711700000
170.61,101925,160820,48.7823,9.1695,6.05786,356.637,23.6298,12509300000
155.718,110719,160820,48.7681,9.17233,20.0311,283.957,2.72367,12402700000
142.524,111929,160820,48.7457,9.13593,32.7339,325.599,8.08238,11425100000
137.428,111951,160820,48.7449,9.136,25.6575,598.105,12.9835,11018700000
140.505,112410,160820,48.7349,9.128,36.0805,326.987,5.97012,11299400000
136.262,112454,160820,48.737,9.12778,17.2791,297.276,4.52397,10962600000
134.509,112954,160820,48.7333,9.13076,25.1796,577.971,11.0558,10872400000
135.784,113336,160820,48.7244,9.13596,18.7143,584.311,5.61178,11016800000
141.856,114233,160820,48.7015,9.14901,16.3734,3573.78,106.305,11611700000
223.15,114824,160820,48.6907,9.16267,14.6881,765.939,17.4607,18383900000
128.932,115144,160820,48.6889,9.16471,12.1731,542.047,17.7383,10653500000
216.79,44738,120820,48.6821,9.15468,28.8503,115.336,9.49612,5222370000
222.297,45403,120820,48.6772,9.1244,23.7425,480.529,9.57401,5416100000
150.665,45507,120820,48.6763,9.12461,13.8881,641.738,18.1327,3679270000
174.037,50518,120820,48.6644,9.09424,16.7698,124.208,4.78332,4701140000
239.65,50800,120820,48.6644,9.08161,31.0671,526.828,3.25343,6500620000
185.462,50816,120820,48.6638,9.07993,33.3358,795.53,48.1396,5031340000
207.773,140236,120820,48.6622,8.95482,36.8231,890.706,19.9811,15340300000
166.913,140236,120820,48.6622,8.95482,36.8231,732.234,9.7079,12323600000
221.056,140845,120820,48.6779,8.98722,36.1879,223.006,7.20363,16456600000
174.447,141301,120820,48.6809,9.0113,22.1461,616.766,38.0551,13064500000
141.827,141512,120820,48.6831,9.02183,21.8331,707.963,25.6344,10650400000
178.791,141731,120820,48.6836,9.03419,12.0231,1063.21,23.5902,13465500000
141.384,141804,120820,48.6838,9.03551,7.74687,597.671,13.4288,10655300000
206.834,142016,120820,48.6865,9.04004,16.8457,721.859,16.5823,15619800000
239.494,142030,120820,48.6867,9.04122,21.822,517.259,22.7108,18090500000
218.453,142141,120820,48.6884,9.04381,38.5492,443.124,14.6303,16519400000
217.842,45207,130820,48.6732,8.97398,20.3367,436.641,6.2278,5627250000
165.1,145342,130820,48.6567,8.96042,27.2576,253.428,18.0484,13686200000
189.201,145649,130820,48.6514,8.97272,25.576,414.355,18.5059,15737100000
188.213,145844,130820,48.6485,8.98521,33.1636,667.667,15.2538,15696800000
188.413,150708,130820,48.6401,9.01671,44.1088,808.206,4.49205,16291600000
232.334,150941,130820,48.6432,9.03641,35.0359,601.488,8.06531,20165700000
110.904,151628,130820,48.6575,9.06009,21.1201,4180.34,104.479,9698070000
156.244,153309,130820,48.6764,9.12374,34.3359,330.994,6.5858,13916700000
184.9,154651,130820,48.6885,9.15497,26.8112,312.739,2.81351,16674300000
139.304,44830,110820,48.6886,9.03812,14.6826,587.178,8.976,3045470000
183.244,45531,110820,48.6819,8.99821,6.6542,759.733,71.4823,4050230000
228.813,45531,110820,48.6819,8.99821,6.6542,320.094,10.4188,5057440000
195.915,45659,110820,48.6797,8.99264,13.1936,371.572,29.4444,4339590000
237.811,45958,110820,48.6752,8.97774,27.6113,1018.62,42.6923,5292800000
136.651,142009,110820,48.6616,8.95409,28.2947,309.092,12.1869,9370340000
168.774,142009,110820,48.6616,8.95409,28.2947,731.608,32.0432,11573000000
228.79,143212,110820,48.6832,9.00331,20.6793,132.831,22.3856,15915300000
215.137,143256,110820,48.6844,9.00715,25.3,189.105,9.00266,14976900000
155.558,143303,110820,48.6846,9.00783,27.7335,207.237,10.6122,10833700000
190.723,144656,110820,48.6964,9.0647,12.1861,655.039,19.4141,13496100000
192.529,150341,110820,48.6918,9.14754,31.3486,822.545,22.2168,14287400000
191.046,90949,160820,48.7829,9.17335,19.0088,218.706,6.76575,12504600000
206.58,90949,160820,48.7829,9.17335,19.0088,867.812,20.6088,13521400000
106.421,91159,160820,48.7832,9.16611,0.314838,101.667,8.85818,6976230000
222.752,91426,160820,48.7829,9.16623,8.64509,924.089,67.9621,14645000000
123.931,92947,160820,48.7738,9.16439,12.6565,39.0814,8.79944,8280310000
177.499,93911,160820,48.7722,9.16523,13.6732,163.27,7.18033,11983100000
204.428,93911,160820,48.7722,9.16523,13.6732,436.57,26.9989,13801100000
218.394,93945,160820,48.7728,9.16695,8.88214,918.586,75.5036,14752200000
203.855,94339,160820,48.7784,9.17557,14.3214,852.103,32.3331,13842400000
140.567,94726,160820,48.7807,9.17746,9.62294,498.94,229.625,9586570000
189.6,95029,160820,48.7771,9.18176,9.22661,401.45,2.50885,12977100000
140.304,95252,160820,48.7741,9.17901,13.5751,590.184,23.7345,9622120000
199.59,95535,160820,48.7715,9.17395,8.53767,421.428,15.8866,13720300000
125.48,95549,160820,48.7712,9.17328,3.1669,319.779,10.2064,8626390000
173.096,95549,160820,48.7712,9.17328,3.1669,323.982,10.4077,11899800000
170.7,95607,160820,48.7707,9.17281,11.5046,329.317,9.35436,11741500000
168.505,100624,160820,48.7628,9.16319,13.1862,160.559,4.01964,12184000000
237.064,101402,160820,48.7747,9.17254,5.65412,993.127,40.3668,17295600000
230.274,102034,160820,48.7827,9.17089,11.5509,559.924,8.54691,16904700000
145.511,102121,160820,48.7838,9.16951,6.93755,307.954,17.2967,10689900000
219.015,102808,160820,48.7837,9.17114,13.0028,786.351,35.2538,16200900000
216.387,103041,160820,48.7846,9.17384,1.32788,887.651,9.74609,16047800000
237.35,103204,160820,48.7844,9.17372,0.748204,6076.91,51.505,17630000000
187.729,103434,160820,48.7844,9.17357,1.35936,3978.62,26.8776,13975100000
98.0368,104116,160820,48.7847,9.17381,0.275946,134.726,7.56284,7346500000
171.368,60612,200720,48.6908,9.15976,21.7016,1164.2,6.71805,9298440000
230.85,60741,200720,48.6948,9.15882,23.2536,129.308,3.51253,12552300000
251.175,60926,200720,48.6987,9.15246,24.8648,668.879,4.04396,13690700000
138.787,61039,200720,48.7011,9.1484,13.3491,503.059,41.6839,7575830000
206.104,61906,200720,48.7257,9.14665,7.93762,177.315,23.8414,11413800000
181.975,61925,200720,48.7263,9.14703,12.1453,508.231,30.8358,10081200000
155.589,62000,200720,48.7281,9.14757,18.2643,165.502,2.94474,8630700000
193.076,62234,200720,48.7347,9.1512,24.4648,817.949,24.2152,10756300000
182.749,62330,200720,48.7382,9.15213,17.5476,360.128,22.4049,10198400000
193.731,62359,200720,48.7394,9.15277,14.0603,279.452,12.8873,10817400000
203.945,62634,200720,48.7455,9.14553,26.5279,236.066,13.0419,11430300000
170.451,62634,200720,48.7455,9.14553,26.5279,548.848,20.3496,9553100000
143.975,63614,200720,48.7609,9.15975,2.94096,188.388,28.2109,8210790000
150.019,63704,200720,48.7614,9.15998,1.60567,174.051,10.9395,8567910000
172.757,63955,200720,48.7644,9.16818,15.8086,299.232,3.96904,9914890000
157.527,181921,200720,48.7541,9.14021,21.4849,198.503,15.4217,25632900000
189.998,182034,200720,48.7503,9.13716,21.985,802.821,45.4776,30923000000
185.45,182612,200720,48.7434,9.1482,16.166,419.496,6.92238,30310900000
140.28,182725,200720,48.7432,9.15157,21.3886,516.013,23.6227,22950700000
186.584,183240,200720,48.7288,9.15033,0.374102,386.359,33.1329,30599100000
129.642,183309,200720,48.7271,9.14985,26.6057,257.985,17.4732,21267000000
176.496,183418,200720,48.7247,9.1485,18.7069,347.559,3.20984,28964400000
182.9,184124,200720,48.706,9.14549,22.9128,1271.51,15.2417,30109500000
