"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"R6,R5,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"100";;;
2;"Uvorne1,Uhinten2";"XCVR_HC-SR04";2;"HC-SR04";;;
3;"Drot2,Dgrun1,Dgelb3";"LED_D5.0mm";3;"LED";;;
4;"U3";"Pin_Header_Straight_1x03_Pitch1.27mm";1;"DS18B20";;;
5;"SW1";"CP_Radial_D4.0mm_P1.50mm";1;"SW_DIP_x01";;;
6;"R1,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1k";;;
7;"R2,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"510";;;
8;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"4,7k";;;
9;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
10;"D4";"D_T-1_P10.16mm_Horizontal";1;"Z5,1V";;;
11;"J2";"Pin_Header_Angled_1x02_Pitch2.54mm";1;"Conn_01x02_Female";;;
12;"GPS1";"GY-GPS6MV";1;"GY-GPS6MV2";;;
13;"U4";"BatCharging";1;"Battery_Charging";;;
14;"J1";"Raspi_Zero";1;"Raspberry_Pi_2_3";;;
15;"J3";"TerminalBlock_bornier-2_P5.08mm";1;"Conn_01x02_Female";;;
16;"SW2";"TerminalBlock_bornier-2_P5.08mm";1;"SW_on_off";;;
17;"J4";"Pin_Header_Angled_1x05_Pitch2.54mm";1;"USB_B_Micro";;;
